ticker,sector,country
DBC,Commodities,Commodities
INDA,India,India
SPY,US Equity,US
QQQ,US Tech,US
IWM,US Small,US
DIA,US Equity,US
MDY,US Mid,US
RSP,US Equal,US
XLK,Tech,US
SMH,Semis,US
SOXX,Semis,US
IGV,Software,US
XLF,Financials,US
KRE,Reg Banks,US
KBE,Banks,US
XLV,Healthcare,US
XBI,Biotech,US
IBB,Biotech,US
XLE,Energy,US
OIH,Oil Svc,US
XOP,E&P,US
XLI,Industrials,US
XLY,Cons Disc,US
XLP,Cons Staples,US
XLU,Utilities,US
XLB,Materials,US
XLRE,Real Estate,US
EFA,Intl Dev,Multi
VEA,Intl Dev,Multi
IEFA,Intl Dev,Multi
EEM,EM Broad,Multi
VWO,EM Broad,Multi
INDA,India,India
EWZ,Brazil,Brazil
FXI,China,China
EWY,Korea,Korea
EWT,Taiwan,Taiwan
EWJ,Japan,Japan
GLD,Gold,Global
SLV,Silver,Global
GDX,Gold Miners,Global
GDXJ,Jr Gold,Global
SIL,Silver Miners,Global
COPX,Copper,Global
URA,Uranium,Global
TAN,Solar,Global
ICLN,Clean Energy,Global
TLT,Long Treas,US
IEF,Med Treas,US
LQD,IG Corp,US
HYG,High Yield,US
VNQ,REITs,US
IYR,REITs,US
SCHD,Dividend,US
VIG,Div Growth,US
VYM,High Div,US
DVY,Dividend,US
ARKK,Innovation,US
ARKG,Genomics,US
JETS,Airlines,US
